DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airp_pr,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-03,398,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-04,416,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-05,348,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-06,337,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-07,694,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-08,593,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-09,368,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-10,604,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2004-11,587,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-02,559,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-03,586,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-04,554,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-05,642,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-06,453,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-07,651,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-08,331,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-09,498,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-10,468,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2005-11,624,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-02,266,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-03,814,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-04,630,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-05,671,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-06,850,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-07,676,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-08,683,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-09,724,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-10,548,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-11,16,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2007-12,463,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-01,0,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-03,306,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-04,529,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-05,675,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-06,528,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-07,504,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-08,727,
ESTAT:AVIA_GOR_NL(1.0),29/09/22 23:00:00,M,T,FRM_BRD,NL_EHAM_AE_OMAA,2009-09,469,
