"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"East Asia & Pacific (excluding high income),""EAP"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1751"",""1533"",""1521"",""1324"",""2162.5"",""2084"","""",""2947"",""1014"",""2682"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Early-demographic dividend,""EAR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1285"",""1364"",""1537.5"",""1741"","""",""1980"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"East Asia & Pacific,""EAS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2521.5"",""2541"",""2583"",""2857"",""3515"",""4078"","""",""3894"",""3263.5"",""3970.5"","""",""6804.25"",""4405"",""6856.5"","""",""6559"",""7087.5"","""","""",""9724"",""9768"",""9767"","""","""","""","""","""","
"Europe & Central Asia (excluding high income),""ECA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3004"",""2785"",""3166.5"",""3677"",""4095"",""4725.5"",""4692"",""5074"",""4137"",""5033"",""6145"",""6394.5"",""6084"",""6515"",""4281"",""4875"",""4833"",""4442"",""3246"",""4213.5"",""3955.6"",""3429.1"",""3609.5"",""3862"",""2935.1"","""","""","
"Europe & Central Asia,""ECS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8568"",""7633"",""7764.5"",""7925.5"",""7563"",""8098.5"",""7646"",""7752"",""8389"",""9083"",""9628"",""10292.5"",""10029"",""10021"",""7632.5"",""8413.5"",""8539"",""9230"",""8930"",""9596"",""8468"",""9455"",""10362"",""10584.08"",""8480"","""","""","
"Ecuador,""ECU"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Egypt, Arab Rep.,""EGY"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2830"",""4117"",""3969"",""4004"",""3900"",""4012"",""4022"",""4188"","""",""3840"",""3840"",""4188"","""",""3840.367"","""",""1592.136"","""","""","""","""","""","""","""","""","""","""","""","
"Euro area,""EMU"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8290"",""8454.5"",""9239"",""9075"",""8801"",""9512.5"",""9207"",""9732"",""10080"",""10296.5"",""10172.5"",""10739"",""10040.5"",""9980.5"",""7339"",""8341"",""8677.5"",""9275"",""9366"",""9596"",""8468"",""9455"",""10362"",""10792"",""9375"","""","""","
"Eritrea,""ERI"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Spain,""ESP"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""10419"",""10156"",""11486"",""11800"",""12035"",""12171"",""12322"",""12247"",""12411"",""12018"",""11641"",""11599"",""11212"",""10662"",""7714"",""8577"",""9593"",""9390"",""9366"",""10303"",""10812"",""10644"",""10507"",""10792"","""","""","""","
"Estonia,""EST"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3846"",""4198"",""5102"",""6079"",""7295"",""8102"",""8557"",""9697"",""9670"",""10488"",""10639"",""10418"",""8430"",""5943"",""5934"",""6638"",""6271"",""5129"",""4722"",""3256"",""3114"",""2339"",""2325"",""2594"",""2155"","""","""","
"Ethiopia,""ETH"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"European Union,""EUU"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8944"",""8454.5"",""9239"",""9075"",""8801"",""9512.5"",""9207"",""9732"",""10080"",""10296.5"",""10172.5"",""10739"",""10285.5"",""10268"",""7693.5"",""8693"",""9256.5"",""9275"",""9470"",""10158"",""10009.615"",""10527.534"",""10507"",""10792"",""10624.909"","""","""","
"Fragile and conflict affected situations,""FCS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Finland,""FIN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""9293"",""8806"",""9856"",""9885"",""9753"",""10107"",""9857"",""9664"",""10047"",""10105"",""9706"",""11060"",""10434"",""10777"",""8872"",""9750"",""9395"",""9275"",""9470"",""9596"",""8468"",""9455"",""10362"",""11175"",""10270"","""","""","
"Fiji,""FJI"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"France,""FRA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""46560"",""48320"",""52630"",""52660"",""52120"",""55350"",""50344"",""49977"",""46758"",""45035"",""39659"",""41179"",""42612"",""40436"",""32129"",""29965"",""34202"",""32539"",""32230"",""32596"",""34252"",""32569"",""33442"",""32039"",""31829"","""","""","
"Faroe Islands,""FRO"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Micronesia, Fed. Sts.,""FSM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Gabon,""GAB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""503"",""493"",""1636"",""1741"",""1609"",""1702"",""1834"",""2998"","""",""1904"",""2219"",""2202"",""2502"",""2485"",""1581"",""2238"",""2417"",""2235"",""2613"",""2447"",""2727"",""2058"",""3276"",""3210.576346"","""","""","""","
"United Kingdom,""GBR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""13300"",""15100"",""16900"",""17340"",""18050.424536214"",""18169.862865357"",""19199.607124964"",""18633.81459925"",""18745.175509571"",""20136.782576286"",""21426.789011214"",""21918.784355994"",""21265.297399239"",""21076.885656054"",""19171.477488606"",""18576.419860376"",""20973.823473378"",""21466.803050594"",""22401.431120115"",""22143.367020006"",""19342.444761281"",""17053.216554029"",""17166.930314851"",""17205.693315326"","""","""","""","
"Georgia,""GEO"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1246"",""1350"",""2006"",""2574"",""3138"",""3913"",""4480"",""5074"",""5447"",""4855"",""6145"",""7393"",""6927"",""6515"",""5417"",""6228"",""6055"",""5976"",""5526"",""4988"",""4261.2"",""3424.2"",""2963.2"",""2598.2"",""2935.1"","""","""","
"Ghana,""GHA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""157"",""151"",""155"",""141"",""151"",""165"","""","""",""242"","""","""",""181"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Gibraltar,""GIB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Guinea,""GIN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Gambia, The,""GMB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Guinea-Bissau,""GNB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Equatorial Guinea,""GNQ"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Greece,""GRC"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""306"",""353"",""344"",""318"",""384"",""426"",""379"",""327"",""456"",""592"",""613"",""662"",""835"",""786"",""537"",""601"",""352"",""283"",""238"",""343"",""294"",""254"",""358"",""408"",""491"","""","""","
"Grenada,""GRD"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Greenland,""GRL"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Guatemala,""GTM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""14"","""","""","""","""",""2207"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Guam,""GUM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Guyana,""GUY"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"High income,""HIC"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8856"",""8806"",""9856"",""9885"",""9792"",""10455"",""10174.5"",""10075"",""10355.5"",""10564.5"",""10373.5"",""10807"",""10680.5"",""10777"",""9072.5"",""9130.5"",""9593"",""9830.5"",""10090.5"",""10230.5"",""10410.8075"",""10585.767"",""10507"",""10983.5"",""10624.909"","""","""","
"Hong Kong SAR, China,""HKG"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""41"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Honduras,""HND"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Heavily indebted poor countries (HIPC),""HPC"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Croatia,""HRV"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1974"",""1717"",""1715"",""1831"",""1685"",""1788"",""2074"",""2206"",""2487"",""2493"",""2835"",""3305"",""3574"",""3312"",""2641"",""2618"",""2438"",""2332"",""2086"",""2119"",""2183"",""2160"",""2592"",""2743"",""2911"","""","""","
"Haiti,""HTI"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Hungary,""HUN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8337"",""7633"",""8064"",""8150"",""7734"",""8095"",""7731"",""7752"",""8109"",""8749"",""9090"",""10167"",""10137"",""9874"",""7673"",""8809"",""9118"",""9230"",""9722"",""10158"",""10009.615"",""10527.534"",""11344.565"",""10584.08"",""10624.909"","""","""","
"IBRD only,""IBD"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2302"",""2659"",""2700.5"",""2857"",""3138"",""3962.5"",""4480"",""4188"",""4057"",""3938.5"",""3840"",""4893"",""5539"",""5452"","""",""3901"",""5976"","""","""",""6377.2495"",""4748.521"",""5192"",""4282"","""","""","""","""","
"IDA & IBRD total,""IBT"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1324.5"",""1417"",""1480"",""1442"",""1398"",""1635"","""",""2103"","""",""2013.5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"IDA total,""IDA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"IDA blend,""IDB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1282"",""1309"",""968.5"",""1111"",""1052"",""1557"",""1603"",""1350"",""654.5"",""1256.5"",""1119"","""",""1580"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Indonesia,""IDN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4170"",""4730"",""4980"",""4960"",""5141"",""4997"","""","""","""","""","""",""4390"",""4405"",""5452"","""",""6559"","""","""","""",""9884"",""10057"",""11120"",""13376"",""15098"",""15573"","""","""","
"IDA only,""IDX"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Isle of Man,""IMN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"India,""IND"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""273520"",""279990"",""286770"",""284270"",""308040"",""312400"",""333200"",""353200"",""381200"",""411300"",""439596"",""480993"",""521370"",""551448"",""600546"",""625723"",""667607"",""649645"",""665810"",""681696"",""654481"",""620175"",""654285"","""","""","""","""","
"Not classified,""INX"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Ireland,""IRL"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""602"",""570"",""522"",""466"",""526"",""491"",""516"",""426"",""398"",""399"",""303"",""207"",""129"",""103"",""79"",""92"",""105"",""91"",""99"",""100"",""96"",""101"",""100"",""73"",""72"","""","""","
"Iran, Islamic Rep.,""IRN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""11865"",""13638"",""14400"",""12638"",""14082"",""14179"",""14613"",""15842"",""18048"",""18182.1"",""19127"",""20542"",""21729"",""22140"",""20247"",""21779.374"",""21008"",""22604"",""22400"",""24461"",""25014"",""27243"",""30299"",""34859"","""","""","""","
"Iraq,""IRQ"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120"",""908"",""947"",""751"",""821"",""867"",""1109"",""1683"","""",""1079"",""733"",""64"","""",""120.634"","""",""249.463"","""","""","""","""","""","""","""","""","""","""","""","
"Iceland,""ISL"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Israel,""ISR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1175.7"",""1151.9"",""991.7"",""1049.2"",""1127.7"",""1172.9"",""1098.4"",""1102.5"",""1111.9"",""1173.2"",""1148.7"",""1122.5"",""1176.7"",""1056"",""799.2"",""1062"",""1099.2"",""1011.2"",""1058"",""1165.4"",""1155"",""1404.4"",""1380.5"",""1235.1"",""1241.5"","""","""","
"Italy,""ITA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""24050"",""23314"",""25228"",""24704"",""23781"",""25839"",""24352"",""23060"",""22457"",""23271"",""22199"",""22907"",""23289"",""21981"",""17791"",""18616"",""19787"",""20244"",""19037"",""20157"",""20781"",""22712"",""22335"",""22070"",""21309"","""","""","
"Jamaica,""JAM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Jordan,""JOR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""706"",""750"",""622"","""",""622"",""575"",""249"",""529"",""2422.5"",""1.868"",""517.999"","""",""433"",""449"",""353"",""344.1"","""","""","""","""","""","""","""","""","""","""","""","
"Japan,""JPN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""25101"",""24968"",""24617"",""22920"",""22541"",""22136"",""22193"",""22131"",""22794"",""22476"",""22813"",""23192"",""23334"",""22256"",""20562"",""20398"",""19998"",""20471"",""21071"",""21029"",""21519"",""21265"",""21663"",""19369"",""20117"","""","""","
"Kazakhstan,""KAZ"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""124502"",""108596"",""106425"",""99877"",""91700"",""124983"",""135653"",""133088"",""147672"",""163420"",""171855"",""191189"",""200752"",""214906.646"",""197302"",""213174"",""223583.5"",""235845.5"",""231248"",""216524"",""189759"",""188159"",""206258"",""219927"","""","""","""","
"Kenya,""KEN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1282"",""1309"",""1068"",""1111"",""1492"",""1557"",""1603"",""1538"","""",""1399"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Kyrgyz Republic,""KGZ"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""403"",""481"",""472"",""466"",""355"",""337"",""332"",""395"",""562"",""715"","""",""751.8"",""848.9"",""945.5"",""744.5"",""737.7"",""798.3"",""922.7"",""1002"",""1010"",""918"",""807"",""935"",""949"",""870.4"","""","""","
"Cambodia,""KHM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""9"",""35"",""75"",""78"",""92"","""","""",""92"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
