"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"Austria,""AUT"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""13715"",""13909"",""14199"",""14714"",""15039"",""16602"",""16895"",""17132"",""16869"",""17931"",""17064"",""20980"",""21371"",""21915"",""17767"",""19833"",""20345"",""19499"",""19564"",""20746"",""20814"",""21361"",""22256"",""21996.241"",""21736"","""","""","
"Azerbaijan,""AZE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2409"",""2777"",""3515"",""4702"",""5052"",""5677"",""6141"",""6980"",""7719"",""7536"",""9628"",""11059"",""10375"",""10021"",""7592"",""8250"",""7845"",""8212"",""7958"",""7371"",""6210"",""5192"",""4633"",""4492"",""5152"","""","""","
"Burundi,""BDI"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Belgium,""BEL"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7287"",""7244"",""7465"",""7600"",""7392"",""7674"",""7080"",""7276"",""7293"",""7691"",""8042"",""8587"",""8148"",""8469"",""5947"",""6264"",""6698"","""","""","""","""","""","""","""","""","""","""","
"Benin,""BEN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""178"",""218"",""219"",""155"",""89"",""94"",""89"",""86"",""45"",""24"",""36"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Burkina Faso,""BFA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.675"",""0.737"",""0.84"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bangladesh,""BGD"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""689"",""782"",""804"",""896"",""896"",""777"",""908"",""952"",""952"",""896"",""817"","""",""776"",""870"",""800"",""710"",""693"",""582"",""525"",""677"",""694"",""1053"","""","""","""","""","""","
"Bulgaria,""BGR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8595"",""7549"",""7444"",""6152"",""5297"",""5538"",""4904"",""4627"",""5274"",""5211"",""5163"",""5396"",""5241"",""4693"",""3145"",""3064"",""3291"",""2908"",""3246"",""3439"",""3650"",""3434"",""3931"",""3792"",""3901.6"","""","""","
"Bahrain,""BHR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bahamas, The,""BHS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
